10,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,15
10,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,86,78,6,78,6,78,6,78,6,78,6,15
10,6,78,6,78,6,78,6,78,89,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,74,78,15
10,78,6,10,41,41,41,41,41,41,41,41,41,41,41,41,41,41,15,78,79,30,51,51,51,51,51,51,51,51,51,51,51,51,51,51,15,78,6,15
10,6,78,10,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15,79,78,30,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15,6,78,15
10,78,6,10,6,78,77,78,6,78,6,2,2,2,2,2,2,2,15,78,79,30,2,2,2,2,2,2,2,78,77,78,6,78,77,78,15,78,6,15
10,6,78,10,78,6,78,6,15,6,78,2,78,86,78,6,78,6,78,74,78,6,78,6,78,6,78,6,2,6,78,6,78,2,78,6,15,6,78,15
10,78,6,10,41,41,41,41,15,78,6,2,6,78,6,78,6,78,79,78,79,78,6,78,6,78,6,78,2,2,2,2,2,2,6,78,15,78,6,15
10,6,78,10,78,6,78,6,15,89,78,6,78,6,2,2,2,2,15,79,78,30,2,2,2,2,78,6,2,6,78,6,78,6,78,6,15,6,78,15
10,78,6,10,6,78,77,78,6,78,6,78,6,78,6,78,6,78,15,78,79,30,6,78,6,78,6,78,6,78,86,78,6,78,77,78,15,78,6,15
10,6,78,10,78,6,78,6,78,6,78,77,78,6,78,6,78,6,15,6,78,30,78,6,78,6,78,77,78,6,78,6,78,6,78,6,15,6,78,15
10,78,6,10,41,41,41,41,41,41,41,41,41,41,41,41,41,41,15,78,6,10,41,41,41,41,41,41,41,41,41,41,41,41,41,41,15,78,6,15
10,6,78,10,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15,6,78,10,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15,6,78,15
10,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15
10,6,78,74,78,2,2,2,2,2,2,2,2,2,2,2,2,6,78,74,78,6,78,2,2,2,2,2,2,2,2,2,2,2,2,6,78,74,78,15
10,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15
10,6,78,10,78,6,78,6,78,6,78,86,78,6,78,6,78,6,15,6,78,0,78,6,78,6,78,6,78,89,78,6,78,6,78,6,15,6,78,15
10,78,6,10,41,41,41,41,41,15,6,78,10,41,41,41,41,41,15,78,6,10,51,51,51,51,51,15,6,78,10,51,51,51,51,51,15,78,6,15
10,6,78,10,78,6,78,6,78,15,78,6,10,6,78,6,78,6,15,6,78,10,78,6,78,6,78,15,78,6,10,78,77,77,77,78,15,6,78,15
10,78,6,10,6,78,77,78,6,15,6,78,10,78,6,77,6,78,15,78,6,10,6,78,6,78,6,15,6,78,10,78,6,84,6,78,15,78,6,15
10,6,78,10,78,6,78,6,78,15,78,6,10,6,78,6,78,6,15,6,78,10,78,6,78,6,78,15,78,6,10,78,77,77,77,78,15,6,78,15
10,78,6,10,6,78,41,41,43,45,6,78,40,41,41,41,6,78,15,78,6,10,6,78,10,41,41,45,6,78,40,41,41,15,6,78,15,78,6,15
10,6,78,10,78,6,78,6,78,6,78,89,78,6,78,6,78,6,15,6,78,10,78,6,10,6,78,6,78,89,78,6,78,15,78,6,15,6,78,15
10,78,6,10,6,78,6,78,6,78,6,78,6,78,6,78,6,78,15,78,6,10,6,78,10,78,6,78,6,78,6,78,6,15,6,78,15,78,6,15
10,6,78,10,78,77,78,6,78,2,78,6,2,6,78,77,78,6,15,6,78,10,78,6,78,6,78,2,78,6,2,6,78,6,78,6,15,6,78,15
10,78,6,10,6,78,6,78,6,2,6,78,2,78,6,78,6,78,15,78,6,10,6,78,6,78,6,2,6,78,2,78,6,78,6,78,15,78,6,15
10,6,78,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,45,6,78,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,45,6,78,15
10,78,74,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,15
10,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,6,78,15
40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,45
